step,total,pct,t,eta,P,dP,r12,Vg,norm
250,50266,0.5,2.5,3121.0,0.98922486,-0.01037164,8.0459302,0.0,1.0
500,50266,1.0,5.0,3111.3,0.98027335,-0.01932315,8.04731876,0.0,1.0
750,50266,1.5,7.5,3077.8,0.96873919,-0.03085732,8.04956335,0.0,1.0
1000,50266,2.0,10.0,3072.0,0.96213985,-0.03745666,8.05224377,0.0,1.0
1250,50266,2.5,12.5,3065.1,0.9513545,-0.048242,8.05522998,0.0,1.0
1500,50266,3.0,15.0,3050.1,0.94621894,-0.05337756,8.05516648,0.0,1.0
1750,50266,3.5,17.5,3051.4,0.93797182,-0.06162469,8.05413698,0.0,1.0
2000,50266,4.0,20.0,3050.4,0.93215343,-0.06744308,8.05405698,0.0,1.0
2250,50266,4.5,22.5,3047.4,0.92780007,-0.07179643,8.05240788,0.0,1.0
2500,50266,5.0,25.0,3046.7,0.92073375,-0.07886276,8.05497062,0.0,1.0
2750,50266,5.5,27.5,3043.3,0.91678275,-0.08281375,8.05452547,0.0,1.0
3000,50266,6.0,30.0,3037.5,0.91477645,-0.08482005,8.05606025,0.0,1.0
3250,50266,6.5,32.5,3030.0,0.9059303,-0.0936662,8.06058526,0.0,1.0
3500,50266,7.0,35.0,3020.4,0.90540906,-0.09418744,8.06231174,0.0,1.0
3750,50266,7.5,37.5,3003.2,0.90213083,-0.09746568,8.06287205,0.0,1.0
4000,50266,8.0,40.0,2984.0,0.8977397,-0.1018568,8.06681317,0.0,1.0
4250,50266,8.5,42.5,2965.3,0.89104232,-0.10855418,8.06919239,0.0,1.0
4500,50266,9.0,45.0,2943.3,0.89111657,-0.10847994,8.0681876,0.0,1.0
4750,50266,9.4,47.5,2914.9,0.88890523,-0.11069127,8.06691025,0.0,1.0
5000,50266,9.9,50.0,2888.4,0.88457149,-0.11502501,8.06975838,0.0,1.0
5250,50266,10.4,52.5,2865.6,0.87822698,-0.12136953,8.07447028,0.0,1.0
5500,50266,10.9,55.0,2845.4,0.87387327,-0.12572324,8.07759475,0.0,1.0
5750,50266,11.4,57.5,2826.2,0.8734588,-0.1261377,8.0786892,0.0,1.0
6000,50266,11.9,60.0,2815.1,0.87067844,-0.12891806,8.07953328,0.0,1.0
6250,50266,12.4,62.5,2799.5,0.86834261,-0.13125389,8.0838647,0.0,1.0
6500,50266,12.9,65.0,2788.5,0.86012376,-0.13947274,8.08948174,0.0,1.0
6750,50266,13.4,67.5,2777.6,0.85446654,-0.14512997,8.09641437,0.0,1.0
7000,50266,13.9,70.0,2766.0,0.84802415,-0.15157235,8.10057335,0.0,1.0
7250,50266,14.4,72.5,2754.1,0.84477986,-0.15481664,8.1034154,0.0,1.0
7500,50266,14.9,75.0,2742.1,0.84233058,-0.15726593,8.10527658,0.0,1.0
7750,50266,15.4,77.5,2729.5,0.83781935,-0.16177715,8.10760159,0.0,1.0
8000,50266,15.9,80.0,2717.0,0.83353249,-0.16606401,8.11367229,0.0,1.0
8250,50266,16.4,82.5,2703.8,0.82394238,-0.17565412,8.12051088,0.0,1.0
8500,50266,16.9,85.0,2690.8,0.81496887,-0.18462763,8.13134263,0.0,1.0
8750,50266,17.4,87.5,2677.1,0.8035643,-0.1960322,8.14139882,0.0,1.0
9000,50266,17.9,90.0,2663.2,0.7922123,-0.2073842,8.15170542,0.0,1.0
9250,50266,18.4,92.5,2649.2,0.78245118,-0.21714533,8.16233406,0.0,1.0
9500,50266,18.9,95.0,2635.2,0.77123309,-0.22836341,8.16995292,0.0,1.0
9750,50266,19.4,97.5,2621.0,0.76197868,-0.23761782,8.1803316,0.0,1.0
10000,50266,19.9,100.0,2606.8,0.75042989,-0.24916662,8.18829094,0.0,1.0
10250,50266,20.4,102.5,2592.4,0.73790749,-0.26168901,8.19871669,0.0,1.0
10500,50266,20.9,105.0,2578.1,0.72356496,-0.27603154,8.21089725,0.0,1.0
10750,50266,21.4,107.5,2563.5,0.70523775,-0.29435875,8.22188954,0.0,1.0
11000,50266,21.9,110.0,2549.0,0.68538435,-0.31421216,8.237662,0.0,1.0
11250,50266,22.4,112.5,2534.4,0.66147645,-0.33812005,8.25010908,0.0,1.0
11500,50266,22.9,115.0,2519.7,0.63501036,-0.36458615,8.2641919,0.0,1.0
11750,50266,23.4,117.5,2504.9,0.60664131,-0.39295519,8.2775324,0.0,1.0
12000,50266,23.9,120.0,2489.9,0.57538591,-0.42421059,8.28545908,0.0,1.0
12250,50266,24.4,122.5,2475.1,0.54331053,-0.45628597,8.29499988,0.0,1.0
12500,50266,24.9,125.0,2460.0,0.51024946,-0.48934705,8.29722686,0.0,1.0
12750,50266,25.4,127.5,2444.1,0.47640654,-0.52318996,8.29731645,0.0,1.0
13000,50266,25.9,130.0,2427.6,0.44341763,-0.55617888,8.29489268,0.0,1.0
13250,50266,26.4,132.5,2411.2,0.41122919,-0.58836731,8.28549037,0.0,1.0
13500,50266,26.9,135.0,2394.9,0.3801183,-0.6194782,8.27727268,0.0,1.0
13750,50266,27.4,137.5,2378.5,0.35204386,-0.64755265,8.26398677,0.0,1.0
14000,50266,27.9,140.0,2362.7,0.32599206,-0.67360445,8.2504622,0.0,1.0
14250,50266,28.3,142.5,2347.3,0.30307696,-0.69651955,8.23817905,0.0,1.0
14500,50266,28.8,145.0,2331.3,0.28426877,-0.71532773,8.22392931,0.0,1.0
14750,50266,29.3,147.5,2316.0,0.26747653,-0.73211997,8.21402185,0.0,1.0
15000,50266,29.8,150.0,2300.5,0.25473214,-0.74486436,8.20357032,0.0,1.0
15250,50266,30.3,152.5,2285.1,0.24372575,-0.75587075,8.19516477,0.0,1.0
15500,50266,30.8,155.0,2269.6,0.2336788,-0.7659177,8.18830458,0.0,1.0
15750,50266,31.3,157.5,2253.9,0.22497173,-0.77462478,8.17977873,0.0,1.0
16000,50266,31.8,160.0,2238.4,0.21440222,-0.78519428,8.17273042,0.0,1.0
16250,50266,32.3,162.5,2222.8,0.20407233,-0.79552418,8.16302126,0.0,1.0
16500,50266,32.8,165.0,2207.2,0.19219643,-0.80740007,8.15319941,0.0,1.0
16750,50266,33.3,167.5,2191.3,0.18061192,-0.81898458,8.14317343,0.0,1.0
17000,50266,33.8,170.0,2175.7,0.17099747,-0.82859903,8.13365306,0.0,1.0
17250,50266,34.3,172.5,2159.8,0.16279635,-0.83680015,8.12756855,0.0,1.0
17500,50266,34.8,175.0,2142.3,0.15910553,-0.84049097,8.12338774,0.0,1.0
17750,50266,35.3,177.5,2124.6,0.1562244,-0.84337211,8.122228,0.0,1.0
18000,50266,35.8,180.0,2107.0,0.15440676,-0.84518974,8.12074015,0.0,1.0
18250,50266,36.3,182.5,2089.8,0.15054172,-0.84905478,8.11766123,0.0,1.0
18500,50266,36.8,185.0,2074.0,0.14362321,-0.85597329,8.11225551,0.0,1.0
18750,50266,37.3,187.5,2057.0,0.13616499,-0.86343151,8.10520212,0.0,1.0
19000,50266,37.8,190.0,2040.8,0.12932128,-0.87027522,8.10021006,0.0,1.0
19250,50266,38.3,192.5,2024.9,0.12727913,-0.87231737,8.09843547,0.0,1.0
19500,50266,38.8,195.0,2007.6,0.12657739,-0.87301911,8.09945309,0.0,1.0
19750,50266,39.3,197.5,1990.0,0.12539957,-0.87419693,8.09875494,0.0,1.0
20000,50266,39.8,200.0,1972.5,0.11961749,-0.87997901,8.09475463,0.0,1.0
