job_id=605451
array_job_id=605450
array_task_id=0
case_label=free
mode=free
sigma_gauss=none
job_name=vs3n2k32A
partition=epyc
node_list=fov
submit_dir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=16
mem_per_node=16384
time_limit=unset
planning_estimate=K32 local-dt split A, 140747 steps; free about 13.7 h, gauss conservatively about 31.3 h per width
start_time=2026-07-09T12:30:39+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_free lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=160
progress N=2 step 0/140747 0.0% t=0.00000 eta_s=nan E=-2.15315103 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000000 norm=1.00000000 rank=-1/160 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531510263 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000000000
progress N=2 step 25/140747 0.0% t=0.25000 eta_s=30322.0 E=-2.15304188 P=0.99964625 dP=-0.00001264 r12=8.04558509 Vg=0.00000000 norm=1.00000000 rank=39/160 sv_max=8.73e+00 resid=4.48e-02
progress N=2 step 50/140747 0.0% t=0.50000 eta_s=30334.4 E=-2.15268738 P=0.99954374 dP=-0.00011515 r12=8.04553712 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=3.91e-02
progress N=2 step 75/140747 0.1% t=0.75000 eta_s=30351.5 E=-2.15209754 P=0.99923915 dP=-0.00041974 r12=8.04543981 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.68e-02
progress N=2 step 100/140747 0.1% t=1.00000 eta_s=30367.9 E=-2.15128880 P=0.99865692 dP=-0.00100197 r12=8.04540002 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.34e-02
progress N=2 step 125/140747 0.1% t=1.25000 eta_s=30363.4 E=-2.15028045 P=0.99774602 dP=-0.00191287 r12=8.04532030 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=1.87e-02
progress N=2 step 150/140747 0.1% t=1.50000 eta_s=30365.9 E=-2.14909456 P=0.99649924 dP=-0.00315966 r12=8.04524275 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.72e-02
progress N=2 step 175/140747 0.1% t=1.75000 eta_s=30364.2 E=-2.14775285 P=0.99493092 dP=-0.00472797 r12=8.04529631 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=1.76e-02
progress N=2 step 200/140747 0.1% t=2.00000 eta_s=30362.8 E=-2.14627449 P=0.99312034 dP=-0.00653855 r12=8.04531959 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.57e-02
progress N=2 step 225/140747 0.2% t=2.25000 eta_s=30364.3 E=-2.14467349 P=0.99114547 dP=-0.00851342 r12=8.04543993 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.64e-02
