job_id=605677
array_job_id=605676
array_task_id=0
job_name=vs3n2f20A
partition=epyc
node_list=cent
submit_dir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=16
mem_per_node=16384
planning_estimate=K32 local-dt fine20 split A, 241279 steps; free about 23.5 h, gauss conservatively about 53.6 h per width
start_time=2026-07-09T14:56:46+08:00
case_index=0
mode=free
sigma=0
binary=./build/ecg1d_vs3_n2_dt001_fine20_full
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_fine20_free lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=160
progress N=2 step 0/241277 0.0% t=0.00000 eta_s=nan E=-2.15315103 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000000 norm=1.00000000 rank=-1/160 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531510263 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000000000
progress N=2 step 25/241277 0.0% t=0.25000 eta_s=52356.1 E=-2.15304188 P=0.99964625 dP=-0.00001264 r12=8.04558509 Vg=0.00000000 norm=1.00000000 rank=39/160 sv_max=8.73e+00 resid=4.48e-02
progress N=2 step 50/241277 0.0% t=0.50000 eta_s=52402.7 E=-2.15268738 P=0.99954374 dP=-0.00011515 r12=8.04553712 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=3.91e-02
progress N=2 step 75/241277 0.0% t=0.75000 eta_s=51319.4 E=-2.15209754 P=0.99923915 dP=-0.00041974 r12=8.04543981 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.68e-02
progress N=2 step 100/241277 0.0% t=1.00000 eta_s=50673.8 E=-2.15128880 P=0.99865692 dP=-0.00100197 r12=8.04540002 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.34e-02
progress N=2 step 125/241277 0.1% t=1.25000 eta_s=51012.2 E=-2.15028045 P=0.99774602 dP=-0.00191287 r12=8.04532030 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=1.87e-02
progress N=2 step 150/241277 0.1% t=1.50000 eta_s=51412.5 E=-2.14909456 P=0.99649924 dP=-0.00315966 r12=8.04524275 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.72e-02
progress N=2 step 175/241277 0.1% t=1.75000 eta_s=51665.8 E=-2.14775285 P=0.99493092 dP=-0.00472797 r12=8.04529631 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=1.76e-02
progress N=2 step 200/241277 0.1% t=2.00000 eta_s=51866.5 E=-2.14627449 P=0.99312034 dP=-0.00653855 r12=8.04531959 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.57e-02
progress N=2 step 225/241277 0.1% t=2.25000 eta_s=52022.4 E=-2.14467349 P=0.99114547 dP=-0.00851342 r12=8.04543993 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.64e-02
