job_id=606365
array_job_id=606357
array_task_id=0
job_name=vs3n2fr1
partition=epyc
node_list=cent
excluded_nodes=bar,gyro,doom,fov
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full_repeat
case_label=free
mode=free
sigma=
planning_estimate=repeat full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate free ~27.9 h, gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T22:56:47+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_repeat_free lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=160
progress N=2 step 0/1005310 0.0% t=0.00000 eta_s=nan E=-2.15315103 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000000 norm=1.00000000 rank=-1/160 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531510263 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000000000
progress N=2 step 250/1005310 0.0% t=0.12500 eta_s=294339.2 E=-2.15312751 P=0.99965764 dP=-0.00000126 r12=8.04559340 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=4.33e-02
progress N=2 step 500/1005310 0.0% t=0.25000 eta_s=290213.5 E=-2.15304188 P=0.99964626 dP=-0.00001264 r12=8.04558506 Vg=0.00000000 norm=1.00000000 rank=39/160 sv_max=8.73e+00 resid=4.49e-02
progress N=2 step 750/1005310 0.1% t=0.37500 eta_s=287046.6 E=-2.15289481 P=0.99961374 dP=-0.00004515 r12=8.04556077 Vg=0.00000000 norm=1.00000000 rank=38/160 sv_max=8.73e+00 resid=4.38e-02
progress N=2 step 1000/1005310 0.1% t=0.50000 eta_s=283696.3 E=-2.15268738 P=0.99954374 dP=-0.00011516 r12=8.04553710 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=3.85e-02
progress N=2 step 1250/1005310 0.1% t=0.62500 eta_s=281971.3 E=-2.15242101 P=0.99942369 dP=-0.00023520 r12=8.04550015 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=3.14e-02
progress N=2 step 1500/1005310 0.1% t=0.75000 eta_s=280649.4 E=-2.15209754 P=0.99923914 dP=-0.00041975 r12=8.04543999 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.65e-02
progress N=2 step 1750/1005310 0.2% t=0.87500 eta_s=279915.2 E=-2.15171935 P=0.99898546 dP=-0.00067344 r12=8.04541167 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.37e-02
progress N=2 step 2000/1005310 0.2% t=1.00000 eta_s=277972.7 E=-2.15128880 P=0.99865690 dP=-0.00100199 r12=8.04540005 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.33e-02
progress N=2 step 2250/1005310 0.2% t=1.12500 eta_s=276889.4 E=-2.15080827 P=0.99824571 dP=-0.00141319 r12=8.04536511 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=2.09e-02
progress N=2 step 2500/1005310 0.2% t=1.25000 eta_s=275908.2 E=-2.15028046 P=0.99774600 dP=-0.00191289 r12=8.04532004 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=1.84e-02
progress N=2 step 2750/1005310 0.3% t=1.37500 eta_s=275825.7 E=-2.14970830 P=0.99716343 dP=-0.00249546 r12=8.04527562 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.67e-02
progress N=2 step 3000/1005310 0.3% t=1.50000 eta_s=275074.6 E=-2.14909457 P=0.99649929 dP=-0.00315960 r12=8.04524248 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.73e-02
progress N=2 step 3250/1005310 0.3% t=1.62500 eta_s=274764.0 E=-2.14844192 P=0.99575384 dP=-0.00390505 r12=8.04526426 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.80e-02
progress N=2 step 3500/1005310 0.3% t=1.75000 eta_s=274798.6 E=-2.14775285 P=0.99493108 dP=-0.00472781 r12=8.04529625 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.78e-02
