job_id=605824
array_job_id=605824
array_task_id=1
job_name=vs3n2st2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p000
mode=gauss
sigma=1.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:40+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/277470 0.0% t=0.00000 eta_s=nan E=-2.15315024 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000079 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531502357 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000007907
progress N=2 step 250/277470 0.1% t=2.50000 eta_s=58338.8 E=-2.14296919 P=0.98909673 dP=-0.01056216 r12=8.04540240 Vg=0.00000090 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=6.73e-03
progress N=2 step 500/277470 0.2% t=5.00000 eta_s=58756.5 E=-2.11775348 P=0.98050483 dP=-0.01915406 r12=8.04558447 Vg=0.00000092 norm=1.00000000 rank=37/256 sv_max=1.03e+02 resid=3.77e-02
progress N=2 step 750/277470 0.3% t=7.50000 eta_s=57812.8 E=-2.07650053 P=0.96857414 dP=-0.03108476 r12=8.04635497 Vg=0.00000091 norm=1.00000000 rank=35/256 sv_max=9.45e+01 resid=9.43e-03
progress N=2 step 1000/277470 0.4% t=10.00000 eta_s=57853.7 E=-2.02660527 P=0.96258178 dP=-0.03707711 r12=8.04567470 Vg=0.00000097 norm=1.00000000 rank=34/256 sv_max=1.03e+02 resid=3.53e-02
progress N=2 step 1250/277470 0.5% t=12.50000 eta_s=58182.8 E=-1.96894277 P=0.95119142 dP=-0.04846747 r12=8.04787509 Vg=0.00000088 norm=1.00000000 rank=34/256 sv_max=1.12e+02 resid=1.18e-02
progress N=2 step 1500/277470 0.5% t=15.00000 eta_s=57814.5 E=-1.90971527 P=0.94720646 dP=-0.05245243 r12=8.04598240 Vg=0.00000111 norm=1.00000000 rank=34/256 sv_max=1.07e+02 resid=3.75e-02
progress N=2 step 1750/277470 0.6% t=17.50000 eta_s=57805.9 E=-1.84891323 P=0.93727109 dP=-0.06238781 r12=8.05063618 Vg=0.00000113 norm=1.00000000 rank=37/256 sv_max=1.31e+02 resid=1.16e-02
progress N=2 step 2000/277470 0.7% t=20.00000 eta_s=58036.5 E=-1.79077055 P=0.93346983 dP=-0.06618906 r12=8.04833468 Vg=0.00000206 norm=1.00000000 rank=35/256 sv_max=1.25e+02 resid=3.53e-02
progress N=2 step 2250/277470 0.8% t=22.50000 eta_s=58204.8 E=-1.73405288 P=0.92734988 dP=-0.07230901 r12=8.04939540 Vg=0.00000286 norm=1.00000000 rank=35/256 sv_max=1.21e+02 resid=1.35e-02
progress N=2 step 2500/277470 0.9% t=25.00000 eta_s=58105.2 E=-1.68126491 P=0.92108500 dP=-0.07857389 r12=8.05431578 Vg=0.00000481 norm=1.00000000 rank=35/256 sv_max=1.39e+02 resid=4.01e-02
progress N=2 step 2750/277470 1.0% t=27.50000 eta_s=57991.6 E=-1.63131081 P=0.91906904 dP=-0.08058985 r12=8.03875392 Vg=0.00000758 norm=1.00000000 rank=33/256 sv_max=1.17e+02 resid=2.94e-02
progress N=2 step 3000/277470 1.1% t=30.00000 eta_s=58045.7 E=-1.58484146 P=0.91229035 dP=-0.08736854 r12=8.07002401 Vg=0.00001017 norm=1.00000000 rank=33/256 sv_max=1.36e+02 resid=2.93e-02
progress N=2 step 3250/277470 1.2% t=32.50000 eta_s=58099.1 E=-1.54175928 P=0.90938032 dP=-0.09027857 r12=8.02740541 Vg=0.00001071 norm=1.00000000 rank=33/256 sv_max=1.39e+02 resid=3.75e-02
progress N=2 step 3500/277470 1.3% t=35.00000 eta_s=58148.9 E=-1.50154325 P=0.90628334 dP=-0.09337555 r12=8.06242433 Vg=0.00001222 norm=1.00000000 rank=34/256 sv_max=1.43e+02 resid=4.11e-02
progress N=2 step 3750/277470 1.4% t=37.50000 eta_s=58177.7 E=-1.46425687 P=0.90153803 dP=-0.09812087 r12=8.05733080 Vg=0.00001151 norm=1.00000000 rank=33/256 sv_max=1.57e+02 resid=5.09e-02
progress N=2 step 4000/277470 1.4% t=40.00000 eta_s=58218.8 E=-1.42941743 P=0.90010981 dP=-0.09954908 r12=8.03964262 Vg=0.00000787 norm=1.00000000 rank=33/256 sv_max=1.62e+02 resid=2.08e-01
progress N=2 step 4250/277470 1.5% t=42.50000 eta_s=58241.6 E=-1.39707915 P=0.89418851 dP=-0.10547038 r12=8.04851942 Vg=0.00000882 norm=1.00000000 rank=32/256 sv_max=1.79e+02 resid=1.31e-01
progress N=2 step 4500/277470 1.6% t=45.00000 eta_s=58265.4 E=-1.36708401 P=0.89306708 dP=-0.10659181 r12=8.06480217 Vg=0.00000924 norm=1.00000000 rank=32/256 sv_max=1.82e+02 resid=2.20e-01
progress N=2 step 4750/277470 1.7% t=47.50000 eta_s=58211.9 E=-1.33873324 P=0.89175681 dP=-0.10790208 r12=8.04258366 Vg=0.00000811 norm=1.00000000 rank=32/256 sv_max=1.84e+02 resid=1.70e-01
progress N=2 step 5000/277470 1.8% t=50.00000 eta_s=58133.4 E=-1.31226254 P=0.88653674 dP=-0.11312215 r12=8.04745046 Vg=0.00000700 norm=1.00000000 rank=32/256 sv_max=2.12e+02 resid=2.10e-01
progress N=2 step 5250/277470 1.9% t=52.50000 eta_s=58034.8 E=-1.28758790 P=0.88150782 dP=-0.11815107 r12=8.05185764 Vg=0.00000730 norm=1.00000000 rank=32/256 sv_max=2.28e+02 resid=1.61e-01
progress N=2 step 5500/277470 2.0% t=55.00000 eta_s=57948.1 E=-1.26439672 P=0.88129729 dP=-0.11836160 r12=8.03597484 Vg=0.00000816 norm=1.00000000 rank=33/256 sv_max=2.20e+02 resid=3.48e-01
progress N=2 step 5750/277470 2.1% t=57.50000 eta_s=57913.2 E=-1.24226651 P=0.88056952 dP=-0.11908937 r12=8.04193127 Vg=0.00000804 norm=1.00000000 rank=32/256 sv_max=2.30e+02 resid=1.91e-01
progress N=2 step 6000/277470 2.2% t=60.00000 eta_s=57907.7 E=-1.22142907 P=0.87488973 dP=-0.12476917 r12=8.05228765 Vg=0.00000859 norm=1.00000000 rank=32/256 sv_max=2.48e+02 resid=2.03e-01
progress N=2 step 6250/277470 2.3% t=62.50000 eta_s=57910.3 E=-1.20178731 P=0.87174386 dP=-0.12791503 r12=8.05433901 Vg=0.00000907 norm=1.00000000 rank=33/256 sv_max=2.72e+02 resid=1.66e-01
progress N=2 step 6500/277470 2.3% t=65.00000 eta_s=57907.6 E=-1.18317333 P=0.86839358 dP=-0.13126531 r12=8.01590752 Vg=0.00000774 norm=1.00000000 rank=32/256 sv_max=2.82e+02 resid=2.57e-01
progress N=2 step 6750/277470 2.4% t=67.50000 eta_s=57900.6 E=-1.16541582 P=0.86690708 dP=-0.13275181 r12=8.01464299 Vg=0.00000606 norm=1.00000000 rank=32/256 sv_max=2.97e+02 resid=2.31e-01
progress N=2 step 7000/277470 2.5% t=70.00000 eta_s=57892.4 E=-1.14851992 P=0.86163335 dP=-0.13802554 r12=8.02385870 Vg=0.00000513 norm=1.00000000 rank=33/256 sv_max=3.16e+02 resid=2.08e-01
