job_id=605827
array_job_id=605823
array_task_id=0
job_name=vs3n2st3
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p250
mode=gauss
sigma=1.25
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p250 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/277470 0.0% t=0.00000 eta_s=nan E=-2.15315010 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000093 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531500998 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000009265
progress N=2 step 250/277470 0.1% t=2.50000 eta_s=56978.2 E=-2.14296906 P=0.98909680 dP=-0.01056209 r12=8.04540258 Vg=0.00000105 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=6.73e-03
progress N=2 step 500/277470 0.2% t=5.00000 eta_s=56856.0 E=-2.11775337 P=0.98050468 dP=-0.01915421 r12=8.04558234 Vg=0.00000104 norm=1.00000000 rank=37/256 sv_max=1.03e+02 resid=3.77e-02
progress N=2 step 750/277470 0.3% t=7.50000 eta_s=57018.7 E=-2.07650031 P=0.96857429 dP=-0.03108460 r12=8.04635554 Vg=0.00000103 norm=1.00000000 rank=35/256 sv_max=9.45e+01 resid=9.43e-03
progress N=2 step 1000/277470 0.4% t=10.00000 eta_s=56933.7 E=-2.02660514 P=0.96258367 dP=-0.03707522 r12=8.04568864 Vg=0.00000106 norm=1.00000000 rank=34/256 sv_max=1.03e+02 resid=3.53e-02
progress N=2 step 1250/277470 0.5% t=12.50000 eta_s=56773.1 E=-1.96894240 P=0.95119200 dP=-0.04846689 r12=8.04787213 Vg=0.00000093 norm=1.00000000 rank=34/256 sv_max=1.12e+02 resid=1.18e-02
progress N=2 step 1500/277470 0.5% t=15.00000 eta_s=56854.9 E=-1.90971453 P=0.94721240 dP=-0.05244649 r12=8.04601519 Vg=0.00000114 norm=1.00000000 rank=34/256 sv_max=1.07e+02 resid=3.76e-02
