job_id=605826
array_job_id=605822
array_task_id=0
job_name=vs3n2st4
partition=epyc
node_list=cent
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma2p000
mode=gauss
sigma=2.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma2p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/277470 0.0% t=0.00000 eta_s=nan E=-2.15314890 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000212 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531489043 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000021220
progress N=2 step 250/277470 0.1% t=2.50000 eta_s=58159.3 E=-2.14296787 P=0.98909710 dP=-0.01056179 r12=8.04540978 Vg=0.00000215 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=6.73e-03
progress N=2 step 500/277470 0.2% t=5.00000 eta_s=58906.5 E=-2.11775238 P=0.98050378 dP=-0.01915512 r12=8.04557116 Vg=0.00000219 norm=1.00000000 rank=37/256 sv_max=1.03e+02 resid=3.77e-02
progress N=2 step 750/277470 0.3% t=7.50000 eta_s=59149.3 E=-2.07649837 P=0.96857414 dP=-0.03108475 r12=8.04635905 Vg=0.00000237 norm=1.00000000 rank=35/256 sv_max=9.44e+01 resid=9.42e-03
progress N=2 step 1000/277470 0.4% t=10.00000 eta_s=59216.9 E=-2.02660418 P=0.96259313 dP=-0.03706576 r12=8.04575651 Vg=0.00000214 norm=1.00000000 rank=34/256 sv_max=1.03e+02 resid=3.53e-02
progress N=2 step 1250/277470 0.5% t=12.50000 eta_s=58589.7 E=-1.96893979 P=0.95118326 dP=-0.04847563 r12=8.04780163 Vg=0.00000233 norm=1.00000000 rank=34/256 sv_max=1.11e+02 resid=1.18e-02
progress N=2 step 1500/277470 0.5% t=15.00000 eta_s=58617.6 E=-1.90971082 P=0.94724382 dP=-0.05241507 r12=8.04620878 Vg=0.00000228 norm=1.00000000 rank=34/256 sv_max=1.07e+02 resid=3.75e-02
